Date,SPX,GLD,USO,SLV,EUR/USD
1/2/2008,1447.160034,848.60001,78.470001,15.18,1.471692
1/3/2008,1447.160034,855.7,78.370003,15.285,1.474491
1/4/2008,1411.630005,851.29997,77.309998,15.167,1.475492
1/7/2008,1416.180054,847.69997,75.5,15.053,1.468299
1/8/2008,1390.189941,867.79999,76.059998,15.59,1.557099
1/9/2008,1409.130005,865.50003,75.25,15.52,1.466405
1/10/2008,1420.329956,882.5,74.019997,16.061001,1.4801
1/11/2008,1401.02002,885.80002,73.089996,16.077,1.479006
1/14/2008,1416.25,895.40001,74.25,16.280001,1.4869
1/15/2008,1380.949951,879.89998,72.779999,15.834,1.48021
1/16/2008,1373.199951,866.99997,71.849998,15.654,1.466405
1/17/2008,1333.25,865,71.029999,15.717,1.464
1/18/2008,1325.189941,874.19998,71.540001,16.030001,1.461796
1/22/2008,1310.5,881.69998,70.550003,15.902,1.464794
1/23/2008,1338.599976,878.89999,69.5,15.9,1.463208
1/24/2008,1352.069946,900.80002,70.93,16.299999,1.47741
1/25/2008,1330.609985,903.00003,71.910004,16.298,1.467502
1/28/2008,1353.959961,917.5,72.349998,16.549999,1.478809
1/29/2008,1362.300049,911.50002,72.980003,16.534,1.477192
1/30/2008,1355.810059,920.59998,73.080002,16.674999,1.483107
1/31/2008,1378.550049,914.00002,72.349998,16.818001,1.486503
2/1/2008,1395.420044,893.49998,70.470001,16.618999,1.479991
2/4/2008,1380.819946,890.99998,71.370003,16.514999,1.4828
2/5/2008,1336.640015,876.8,70.150002,16.167,1.463807
2/6/2008,1326.449951,889.49997,69.019997,16.375,1.46171
2/7/2008,1336.910034,898.49998,69.800003,16.67,1.44789
2/8/2008,1331.290039,910,72.900002,17.025999,1.557099
2/11/2008,1339.130005,913.30002,74.550003,17.4,1.4502
2/12/2008,1348.859985,893.30002,73.589996,17.033001,1.458194
2/13/2008,1367.209961,894.40002,74.110001,17.132,1.455604
2/14/2008,1348.859985,897.09999,75.760002,17.087,1.464408
2/15/2008,1349.98999,891.50002,75.93,16.952,1.46761
2/19/2008,1348.780029,915.80002,78.809998,17.378,1.472993
2/20/2008,1360.030029,932.39998,79.32,17.700001,1.472299
2/21/2008,1342.530029,932.5,77.330002,17.695999,1.481503
2/22/2008,1353.109985,933.89999,78.599998,17.916,1.482602
2/25/2008,1371.800049,927.39998,78.739998,17.99,1.483591
2/26/2008,1381.290039,937.09999,80.099998,18.6,1.49961
2/27/2008,1380.02002,947.79999,78.919998,19.132999,1.511807
2/28/2008,1367.680054,959.89998,81.480003,19.666,1.519595
2/29/2008,1330.630005,961.8,80.419998,19.667999,1.519203
3/3/2008,1331.339966,972.39998,81.32,20.163,1.520011
3/4/2008,1326.75,951.8,79.400002,19.620001,1.521005
